Holding_Ticker,Shares_Change,Change_Pct,Price,Price_Change_Pct,VWAP,Volume,Volume_Change_Pct,Shares_T0,Shares_T1
-,116046567.55999947,2.5182%,0.0,0.00%,0.0,0.0,0.00%,4724343257.48,4608296689.92
XTSLA,37504149.0,0.6763%,0.0,0.00%,0.0,0.0,0.00%,5582972904.0,5545468755.0
IUGXX,24462746.659999967,6.6187%,0.0,0.00%,0.0,0.0,0.00%,394064750.39,369602003.73
SGAFT,2891000.0,1.6932%,0.0,0.00%,0.0,0.0,0.00%,173637100.0,170746100.0
AGPXX,2408659.019999981,0.6020%,0.0,0.00%,0.0,0.0,0.00%,402545520.21,400136861.19
JPM,2260671.0099999905,1.2002%,313.0,-1.26%,314.7828,7080997.833324,-34.24%,190620455.0,188359783.99
C,2160878.63000001,1.7900%,131.68,-1.03%,132.7528,8071863.834677,-20.46%,122882181.68,120721303.05
NVDA,1674204.8200001717,0.1244%,199.88,-1.08%,200.6955,107894969.864327,-4.55%,1347642110.88,1345967906.06
1816 HK,1428000.0,0.2838%,0.0,0.00%,0.0,0.0,0.00%,504643000.0,503215000.0
RY,1395075.0,27.3679%,177.45,-1.42%,177.9899,1303499.995387,21.86%,6492558.0,5097483.0
2940,1372800.0,100.0000%,0.0,0.00%,0.0,0.0,0.00%,1372800.0,0.0
DHY-R-W,1236315.0,100.0000%,0.0,0.00%,0.0,0.0,0.00%,1236315.0,0.0
1164 HK,1082400.0,0.2448%,0.0,0.00%,0.0,0.0,0.00%,443218100.0,442135700.0
AAPL,996732.120000124,0.1287%,266.17,-2.52%,267.583,50192035.966818,37.20%,775237455.1700001,774240723.05
3350 JP,940100.0,13.3641%,0.0,0.00%,0.0,0.0,0.00%,7974600.0,7034500.0
863 HK,814000.0,10.0974%,0.0,0.00%,0.0,0.0,0.00%,8875500.0,8061500.0
GSISW,610000.0,4.0184%,0.0,0.00%,0.0,0.0,0.00%,15790000.0,15180000.0
T,562955.6999999881,0.1515%,25.88,-1.15%,26.0607,44501521.780417,45.87%,372184368.88,371621413.18
AGE AU,490230.0,0.1869%,0.0,0.00%,0.0,0.0,0.00%,262808206.0,262317976.0
MSFT,455441.0900000334,0.1142%,424.16,1.46%,424.4974,32038475.86148,19.42%,399319827.16,398864386.07
BAC,408980.530000031,0.1110%,53.48,-0.87%,53.7102,34243250.492944,-22.14%,368778054.48,368369073.95
CSCO,396897.98999994993,0.1202%,89.7,2.27%,89.1371,18645678.084395,11.71%,330647347.7,330250449.71000004
GOOGL,393514.87000000477,0.1339%,332.29,-1.52%,334.4186,23114777.220609,23.07%,294226186.29,293832671.42
XOM,365749.68000000715,0.1497%,148.36,0.46%,147.9529,17515086.161909,7.10%,244746405.36,244380655.68
AMZN,353049.63000005484,0.0714%,249.91,0.66%,251.8686,42912554.900431,8.76%,494876253.91,494523204.28
CLF,348313.0,0.5437%,9.13,-6.17%,9.2807,24853305.799029,1.12%,64412381.0,64064068.0
RIG,345529.0,0.6321%,6.05,2.72%,5.9817,27866373.561411,1.43%,55006014.0,54660485.0
CMCSA,339091.31999999285,0.1174%,29.05,-2.29%,29.2861,37222465.188491,67.88%,289129308.05,288790216.73
BTBT,336982.0,1.5190%,1.55,-5.49%,1.5929,21084986.669881,4.70%,22520731.0,22183749.0
NFLX,336567.75,0.1113%,92.58,-2.37%,93.1923,61913961.365391,0.53%,302620548.58,302283980.83
AVGO,334202.54000002146,0.1231%,402.17,0.64%,400.734,16272275.086377,-3.82%,271743860.17,271409657.63
URG,331840.0,0.7489%,1.7,-0.58%,1.6951,11422893.322105,-49.82%,44639296.0,44307456.0
MARA,330919.0,0.6285%,11.23,-3.44%,11.2977,41192490.728934,1.54%,52984276.0,52653357.0
SLB,320787.56999999285,0.2681%,52.77,1.09%,52.8967,13589123.371358,-11.46%,119960155.77,119639368.2
UEC,319949.0,0.4135%,14.45,-4.49%,14.6761,7439368.881331,20.74%,77703630.0,77383681.0
GOOG,306279.06999999285,0.1261%,330.47,-1.47%,332.3614,14616105.352964,13.36%,243288432.47,242982153.4
VZ,291675.8300000131,0.1231%,46.27,-0.37%,46.4592,28976008.247006,74.49%,237215367.27,236923691.44
WBD,277289.8900000155,0.1304%,27.31,-0.40%,27.3438,24607433.210796,65.76%,212954374.31,212677084.42
SVC,271484.0,1.3813%,1.52,-0.65%,1.5632,20942173.018293,-3.18%,19926386.0,19654902.0
INTC,252740.56000000238,0.0569%,66.26,0.85%,66.5496,91374383.348898,-5.64%,444142372.26,443889631.7
DYL AU,248910.0,0.2307%,0.0,0.00%,0.0,0.0,0.00%,108154589.0,107905679.0
CLSK,247117.0,0.6816%,11.51,-4.48%,11.6862,16376850.671879,-11.92%,36504144.0,36257027.0
PTEN,234491.0,0.4393%,10.56,8.09%,10.4432,11704355.096602,45.48%,53618303.0,53383812.0
MAIR,218693.0,13.6767%,33.8,0.42%,34.1612,4658113.536689,-36.74%,1817713.0,1599020.0
KMI,207784.62999999523,0.1353%,31.57,-1.16%,31.5728,9963741.63596,-8.07%,153755557.57,153547772.94
BKR,203779.0799999982,0.2049%,60.25,1.83%,60.0447,5465877.287716,-23.02%,99676128.25,99472349.17
CRGY,191045.0,0.4957%,12.25,2.25%,12.1925,6272252.510251,-20.77%,38728362.0,38537317.0
HAL,169616.4699999988,0.2314%,38.15,4.01%,38.1261,20597770.656011,-11.60%,73470904.15,73301287.68
PLUG,165615.0,0.2579%,3.08,-4.35%,3.1326,82122718.083229,-26.83%,64388224.0,64222609.0
BTDR,163770.0,2.3678%,12.08,-7.29%,12.4165,5452782.674048,-21.84%,7080327.0,6916557.0
ASN AU,160368.0,0.2190%,0.0,0.00%,0.0,0.0,0.00%,73385019.0,73224651.0
META,159664.93000000715,0.1315%,668.84,-0.31%,671.2143,8655071.132156,-28.36%,121545693.84,121386028.91
DNN,158108.0,0.2834%,3.81,-3.79%,3.8403,21204149.420484,17.48%,55943021.0,55784913.0
WMT,152726.68000000715,0.0476%,129.6,1.31%,129.218,17307187.76043,-8.58%,321170175.6,321017448.92
UBER,149495.77000001073,0.1481%,77.26,-0.30%,77.614,11691010.199272,1.61%,101071286.26,100921790.49
AFC LN,148030.0,1.1305%,0.0,0.00%,0.0,0.0,0.00%,13242535.0,13094505.0
CIFR,141284.0,0.8415%,18.04,-6.48%,18.2745,25541873.02187,1.83%,16930911.0,16789627.0
ABK,139915.0,5.0000%,0.0,0.00%,0.0,0.0,0.00%,2938231.0,2798316.0
RITM,138496.0,0.2125%,10.17,0.69%,10.1689,4869397.605911,-13.65%,65321061.0,65182565.0
NEL NO,136400.0,1.1306%,0.0,0.00%,0.0,0.0,0.00%,12201120.0,12064720.0
SABR,135495.0,0.2786%,1.96,-0.51%,1.9623,4285755.606652,16.76%,48770467.0,48634972.0
CVX,133914.72999998927,0.1105%,185.98,1.49%,184.8796,9797967.112636,1.43%,121288966.35,121155051.62
RIOT,132602.0,0.7910%,17.41,-3.87%,17.6596,16424266.766843,-26.17%,16896467.0,16763865.0
USAR,130592.0,0.8441%,22.85,1.20%,23.3426,27919325.873638,-35.70%,15601018.0,15470426.0
ADT,129486.0,0.2421%,7.18,-1.37%,7.2122,7551746.351556,1.76%,53614650.0,53485164.0
MPT,129441.0,0.2450%,5.2,-1.14%,5.2003,4580982.58841,28.48%,52962386.0,52832945.0
COP,128600.81000000238,0.1699%,120.26,3.27%,119.4063,8137416.938432,32.87%,75824512.35,75695911.53999999
BTU,125591.0,0.5628%,27.04,5.13%,26.7705,3502726.645443,42.41%,22440575.0,22314984.0
KOS,125220.0,0.3520%,2.65,5.16%,2.6084,11801615.481176,-18.45%,35699328.0,35574108.0
PDN AU,125096.0,0.2319%,0.0,0.00%,0.0,0.0,0.00%,54074083.0,53948987.0
WULF,124240.0,0.7282%,19.77,-3.56%,19.8711,27146706.385784,-21.46%,17185529.0,17061289.0
APH,123033.12000000477,0.1730%,151.93,-0.58%,152.801,7368958.528103,20.79%,71254395.93,71131362.81
AMD,121576.54000002146,0.0841%,284.49,3.47%,281.9333,38942773.162151,11.81%,144638973.49,144517396.95
CSX,121484.65999999642,0.0856%,43.37,-0.78%,43.4433,11441119.43209,45.75%,141982454.37,141860969.71
BRK.B,121080.0,0.3202%,468.5,-0.76%,470.0644,5917481.441856,14.98%,37929874.0,37808794.0
NWL,119834.0,0.2695%,4.24,-2.97%,4.2556,6676467.922695,-10.99%,44587518.0,44467684.0
SM,119720.0,0.3705%,28.08,4.27%,27.8149,4048057.171189,-15.80%,32433939.0,32314219.0
FCX,116136.3899999857,0.1544%,67.57,-3.72%,68.5525,17087751.793873,39.01%,75335412.57,75219276.18
TTD,115234.15000000596,0.2000%,23.2,-3.53%,23.4981,19404561.462873,-7.64%,57744968.2,57629734.05
TALO,114240.0,0.5852%,14.56,5.20%,14.4253,1952135.341042,13.96%,19636916.0,19522676.0
RJHI,114171.0,50.0000%,0.0,0.00%,0.0,0.0,0.00%,342513.0,228342.0
WMB,112528.52000001073,0.1398%,70.43,-0.68%,70.3938,5258003.811866,12.07%,80593036.43,80480507.91
ABAT,112237.0,0.8553%,3.31,-4.61%,3.3616,4636272.284215,-4.25%,13234139.0,13121902.0
HL,111518.0,0.1207%,18.09,-6.41%,18.4832,14192756.903924,24.74%,92525589.0,92414071.0
KO,111364.21999999881,0.0541%,74.7,-1.03%,74.8561,11804984.557201,16.41%,205880302.7,205768938.48
HPE,110550.94999998808,0.1239%,28.76,3.42%,28.9475,22865117.584006,10.93%,89357559.75999999,89247008.81
OXY,108550.85000000149,0.2103%,56.33,3.40%,55.8618,15401200.125193,33.88%,51714795.33,51606244.48
DML CN,108550.0,0.1869%,0.0,0.00%,0.0,0.0,0.00%,58191018.0,58082468.0
RTX,106080.38000001013,0.1280%,187.17,-4.40%,189.3638,7489386.184518,50.17%,82992122.17,82886041.78999999
IE,105328.0,0.6961%,14.38,-6.56%,14.737,1835273.309688,-30.15%,15236938.0,15131610.0
LRCX,104602.21000000834,0.0836%,258.37,-1.82%,260.0015,7826726.386127,36.33%,125286238.37,125181636.16
KEY,103997.90999999642,0.1140%,22.1,-0.41%,22.2385,14419189.374493,8.59%,91300422.1,91196424.19
GLXY,103944.0,4.4038%,24.95,-6.90%,25.6123,5407569.192596,-11.94%,2464268.0,2360324.0
AEE AU,102414.0,0.2110%,0.0,0.00%,0.0,0.0,0.00%,48637975.0,48535561.0
CORZ,102125.0,0.7158%,20.77,4.53%,20.4224,24336708.106306,104.87%,14370161.0,14268036.0
TSLA,102119.92000001669,0.0620%,386.42,-1.55%,389.6877,50518744.14657,-21.80%,164857766.42000002,164755646.5
ANET,101144.00999999791,0.1782%,172.86,3.60%,172.0107,8917028.282842,46.08%,56867003.86,56765859.85
LBRT,100847.0,0.4255%,28.33,6.66%,27.9458,3259827.607293,37.37%,23802238.0,23701391.0
MGY,99662.0,0.3876%,28.71,2.65%,28.5541,1587141.4848,-8.47%,25810975.0,25711313.0
APLD,99383.0,0.8098%,31.32,-2.70%,32.2411,26532442.06712,19.66%,12371821.0,12272438.0
XYZ,96438.8599999994,0.3077%,71.75,-2.90%,72.8648,6366019.484747,10.08%,31441694.75,31345255.89
BGC,96053.0,0.2138%,11.39,-1.81%,11.4508,3340636.37322,4.04%,45032617.0,44936564.0
USB,94107.84000000358,0.0896%,56.84,-0.28%,57.0765,9237808.48803,11.50%,105143419.84,105049312.0
DVN,93487.66000000387,0.1780%,45.6,1.47%,45.2527,11073848.360101,8.61%,52600739.6,52507251.94
JBLU,93182.0,0.2387%,5.46,-5.04%,5.4635,31529113.23114,-0.04%,39128737.0,39035555.0
HLX,93069.0,0.4277%,9.38,2.74%,9.3294,1855463.055504,1.37%,21855689.0,21762620.0
NOV,93058.0,0.2938%,19.59,2.35%,19.5912,2899253.474592,-43.95%,31772038.0,31678980.0
APA,91814.63000000268,0.2097%,37.6,4.55%,36.9852,6843858.947833,7.35%,43872477.6,43780662.97
MU,90702.95999999344,0.0904%,449.38,0.21%,449.3281,27726953.551061,-10.53%,100445508.38,100354805.42
EQT,90084.97999999672,0.1992%,56.98,-0.04%,56.9302,8789034.493539,-6.06%,45305010.98,45214926.0
NEM,89869.45999999344,0.1422%,109.3,-4.82%,110.6174,8549806.352083,33.79%,63273926.3,63184056.84
HBAN,89007.90999999642,0.0561%,16.97,-0.53%,17.0711,15142064.024473,-6.74%,158875664.97,158786657.06
NWSA,88861.45000000298,0.1919%,26.42,1.73%,26.3705,3739979.304006,55.79%,46388936.42,46300074.97
SCHW,88819.81999999285,0.1063%,91.97,-1.27%,92.4517,12839821.927943,13.94%,83614356.97,83525537.15
CTRA,87813.4299999997,0.1363%,31.85,1.37%,31.6627,5774013.728747,13.54%,64504718.85,64416905.42
PR,86650.0,0.1579%,19.91,1.58%,19.7692,12646436.16754,87.10%,54970740.0,54884090.0
LYFT,85688.0,0.2075%,14.75,2.29%,14.7795,14793524.163874,-31.90%,41371689.0,41286001.0
BMNR,83783.0,1.4910%,21.71,-3.64%,22.2144,36871648.048004,-2.04%,5703055.0,5619272.0
GE,83144.12999999523,0.1303%,286.73,-5.56%,289.7287,12888966.318777,142.58%,63902999.73,63819855.6
RUN,82371.0,0.2277%,11.78,-3.28%,12.0286,9159704.626163,18.26%,36257952.0,36175581.0
