Holding_Ticker,Shares_Change,Change_Pct,Price,Price_Change_Pct,VWAP,Volume,Volume_Change_Pct,Shares_T0,Shares_T1
CVNA,20538469.209999997,94.0341%,76.23,-2.19%,76.3797,7093590.794472,1.99%,42379979.23,21841510.02
AGNT,9692535.0,395.7017%,6.04,-8.48%,6.2321,1883602.152546,41.94%,12141990.0,2449455.0
SGAFT,7049000.0,6.9502%,0.0,0.00%,0.0,0.0,0.00%,108471100.0,101422100.0
AGPXX,4889075.480000019,1.0089%,0.0,0.00%,0.0,0.0,0.00%,489484089.1,484595013.62
1816 HK,3560000.0,0.6937%,0.0,0.00%,0.0,0.0,0.00%,516771000.0,513211000.0
20,3076000.0,1.0921%,0.0,0.00%,0.0,0.0,0.00%,284733064.0,281657064.0
2602335D,2609236.0,56.8493%,0.0,0.00%,0.0,0.0,0.00%,7198980.0,4589744.0
LFST,2599594.0,11.3254%,7.67,-0.39%,7.6674,12999189.353489,-47.95%,25553253.0,22953659.0
UBFUT,1549000.0,8.2512%,0.0,0.00%,0.0,0.0,0.00%,20322000.0,18773000.0
LTR AU,1532788.0,1.2365%,0.0,0.00%,0.0,0.0,0.00%,125493536.0,123960748.0
1164 HK,1490800.0,0.3313%,0.0,0.00%,0.0,0.0,0.00%,451513300.0,450022500.0
NVDA,1142595.9400000572,0.0844%,219.44,1.97%,219.5231,160685774.810465,17.79%,1354717860.44,1353575264.5
9660,961800.0,1.0461%,0.0,0.00%,0.0,0.0,0.00%,92900795.0,91938995.0
CYTK,872896.0,6.5479%,74.56,-3.06%,75.176,5316878.063766,-8.20%,14203799.0,13330903.0
PLS AU,776958.0,1.0996%,0.0,0.00%,0.0,0.0,0.00%,71438289.0,70661331.0
AAPL,729558.2400000095,0.0936%,292.68,-0.22%,292.233,42247285.857671,-19.82%,779992945.6800001,779263387.44
1208 HK,720000.0,0.4600%,0.0,0.00%,0.0,0.0,0.00%,157249780.0,156529780.0
3576,698000.0,1.3353%,0.0,0.00%,0.0,0.0,0.00%,52971161.0,52273161.0
EVGO,603559.0,5.2897%,1.98,0.51%,2.0235,5527297.020243,31.73%,12013707.0,11410148.0
F,588667.8700000048,0.2175%,12.05,-2.19%,12.0959,48850838.87146,27.04%,271239085.05,270650417.18
6443,564000.0,2.7737%,0.0,0.00%,0.0,0.0,0.00%,20898168.0,20334168.0
KDCREIT SP,534100.0,1.3951%,0.0,0.00%,0.0,0.0,0.00%,38818468.0,38284368.0
601958 C1,516000.0,1.3534%,0.0,0.00%,0.0,0.0,0.00%,38641815.0,38125815.0
RXRX,503747.0,1.3019%,3.26,-1.81%,3.3222,14017303.826289,2.70%,39196836.0,38693089.0
GERN,472668.0,1.1095%,1.39,0.00%,1.4125,32391608.128398,154.13%,43074268.0,42601600.0
SOSI SS,467609.0,7.7394%,0.0,0.00%,0.0,0.0,0.00%,6509526.0,6041917.0
788 HK,455500.0,1.4661%,0.0,0.00%,0.0,0.0,0.00%,31523750.0,31068250.0
AMZN,450885.81999999285,0.0907%,268.99,-1.35%,270.637,38176696.653149,9.92%,497314441.99,496863556.17
TDUP,439875.0,10.0274%,4.55,-5.60%,4.6529,3272733.697493,-3.73%,4826589.0,4386714.0
600392 C1,435200.0,1.3426%,0.0,0.00%,0.0,0.0,0.00%,32848981.0,32413781.0
SFIX,409438.0,7.8136%,3.28,-8.12%,3.3322,1415549.725782,52.86%,5649504.0,5240066.0
MNKD,399278.0,1.5074%,3.36,-4.55%,3.3998,7537876.211293,-21.02%,26886710.0,26487432.0
DNN,395210.0,0.6947%,3.85,2.94%,3.8152,27564303.355438,55.83%,57286807.0,56891597.0
KVUE,372986.4500000179,0.2762%,17.17,-2.39%,17.2253,29004601.759017,43.50%,135429643.17000002,135056656.72
KO,369123.2299999893,0.1789%,78.66,0.31%,78.3854,10967894.218775,-11.88%,206651972.66,206282849.43
GO,364545.0,2.5363%,7.85,-4.15%,7.8817,3084293.373842,44.79%,14737862.0,14373317.0
1357,360000.0,1.0744%,0.0,0.00%,0.0,0.0,0.00%,33866973.0,33506973.0
600111 C1,354400.0,1.3364%,0.0,0.00%,0.0,0.0,0.00%,26873884.0,26519484.0
6244,348000.0,1.5656%,0.0,0.00%,0.0,0.0,0.00%,22576132.0,22228132.0
2899 HK,340000.0,0.4625%,0.0,0.00%,0.0,0.0,0.00%,73857635.0,73517635.0
IBRX,303257.0,1.2653%,8.11,-4.70%,8.2598,14502080.472148,-10.50%,24270293.0,23967036.0
GOOGL,303133.64999997616,0.1026%,388.64,-3.03%,391.672,30753738.319863,43.29%,295630690.64,295327556.99
268,301000.0,1.0677%,0.0,0.00%,0.0,0.0,0.00%,28492686.0,28191686.0
MSFT,300006.8900000453,0.0748%,412.66,-0.59%,411.3348,35657943.328144,6.81%,401611554.66,401311547.77
CANG,288601.0,13.1940%,0.6491,-6.05%,0.6603,1423049.084038,-63.89%,2475967.0,2187366.0
IOVA,281975.0,1.1039%,3.7,2.21%,3.7726,19047401.965241,-7.93%,25826092.0,25544117.0
000725,270200.0,0.9198%,0.0,0.00%,0.0,0.0,0.00%,29646661.0,29376461.0
LKFT,267746.0,2482.1174%,27.45,-3.99%,27.6183,194448.424251,119.24%,278533.0,10787.0
CWH,267470.0,10.2664%,6.76,-9.75%,6.908,3554197.574519,89.76%,2872777.0,2605307.0
ARDX,264412.0,1.5867%,6.61,-2.51%,6.6718,4044595.571503,-31.02%,16928410.0,16663998.0
VUL AU,259529.0,1.2714%,0.0,0.00%,0.0,0.0,0.00%,20672605.0,20413076.0
T,258303.6100000143,0.0687%,24.87,-1.15%,24.8748,37447605.837597,3.98%,376067206.87,375808903.26
3868,254000.0,0.2236%,0.0,0.00%,0.0,0.0,0.00%,113845021.0,113591021.0
UBER,252314.4200000018,0.2466%,76.15,0.93%,76.2256,18996393.040222,17.04%,102565992.15,102313677.73
ILU AU,249616.0,1.3515%,0.0,0.00%,0.0,0.0,0.00%,18719777.0,18470161.0
K71U,246400.0,6.0629%,0.0,0.00%,0.0,0.0,0.00%,4310490.0,4064090.0
3690,242900.0,1.0084%,0.0,0.00%,0.0,0.0,0.00%,24329507.0,24086607.0
HPQ,239359.67999999225,0.2671%,21.67,-4.45%,21.9397,22194363.479248,2.99%,89838289.67,89598929.99000001
ON,238688.63000000268,0.6219%,107.24,3.91%,105.9375,9686942.841079,-10.00%,38619832.24,38381143.61
1258 HK,236000.0,0.4626%,0.0,0.00%,0.0,0.0,0.00%,51254100.0,51018100.0
M,234981.0,1.0945%,18.69,-4.06%,18.8889,6547166.773996,71.99%,21704984.0,21470003.0
1024,233900.0,1.0570%,0.0,0.00%,0.0,0.0,0.00%,22361526.0,22127626.0
LAC,231062.0,1.2015%,5.79,3.95%,5.7364,13172799.01189,18.48%,19461988.0,19230926.0
