Holding_Ticker,Shares_Change,Change_Pct,Price,Price_Change_Pct,VWAP,Volume,Volume_Change_Pct,Shares_T0,Shares_T1
ACN,780041.450000003,2.0707%,178.71,-0.86%,177.8127,6033742.75504,16.66%,38451144.71,37671103.26
GOOG,741756.6299999952,0.3044%,381.94,9.97%,374.622,44570194.505874,100.48%,244432383.94,243690627.31
SLB,726777.1799999923,0.6053%,56.88,2.12%,56.624,13798785.960508,3.40%,120790787.88,120064010.7
AVGO,723128.9800000191,0.2658%,417.43,2.95%,414.8174,21821261.373868,37.93%,272808555.43,272085426.45
LUMN,674258.0,0.5524%,8.84,1.73%,8.8349,10133627.839744,21.67%,122733113.0,122058855.0
ATYM LN,672887.0,16.5842%,0.0,0.00%,0.0,0.0,0.00%,4730285.0,4057398.0
ADP,672234.879999999,2.0104%,211.94,-1.45%,212.2224,4253635.195372,-3.76%,34110370.94,33438136.06
PFE,658279.4399999976,0.2239%,26.7,1.68%,26.6817,39082929.237616,30.41%,294641583.7,293983304.26
ALLO,657688.0,5.0451%,2.13,0.95%,2.1325,5045224.348065,-22.29%,13693894.0,13036206.0
TSLA,654867.8299999833,0.3963%,381.63,2.37%,377.4308,51072772.89151,12.52%,165896090.63,165241222.8
BKR,638126.8599999994,0.6398%,69.67,1.25%,69.5194,8012248.284332,5.38%,100377416.67,99739289.81
KVUE,618110.3000000119,0.4599%,17.53,1.74%,17.4638,17338617.348807,30.85%,135028758.53,134410648.23
BDX,612809.7299999986,3.8087%,149.04,2.57%,148.5348,3597579.217857,15.90%,16702567.04,16089757.31
SAFX,606374.0,59.9048%,0.3999,8.26%,0.3939,7513555.779058,7.24%,1618604.0,1012230.0
ASL AU,592085.0,11.7274%,0.0,0.00%,0.0,0.0,0.00%,5640828.0,5048743.0
FM CN,571380.0,4.7306%,0.0,0.00%,0.0,0.0,0.00%,12649729.0,12078349.0
WFC,537281.7199999988,0.2836%,82.23,0.88%,82.0883,13535892.549586,-32.09%,189990389.23,189453107.51
AMD,534141.3799999952,0.3693%,354.49,5.16%,347.3301,42115058.329052,-4.38%,145161851.49,144627710.11
CWEN,533521.0,5.0576%,40.36,5.68%,40.3065,2179904.222425,152.14%,11082496.0,10548975.0
