Holding_Ticker,Shares_Change,Change_Pct,Price,Price_Change_Pct,VWAP,Volume,Volume_Change_Pct,Shares_T0,Shares_T1
AGPXX,104006071.98999995,23.5778%,0.0,0.00%,0.0,0.0,0.00%,545124628.53,441118556.54
IUGXX,4805702.74000001,1.2252%,0.0,0.00%,0.0,0.0,0.00%,397045946.35,392240243.61
T,1920359.0,0.5138%,26.12,-0.04%,26.2268,31493657.926813,-29.45%,375669824.13,373749465.13
CMCSA,1659758.0,0.5720%,27.19,0.55%,27.2418,28829257.926961,-31.57%,291811189.04,290151431.04
IP,948755.0,2.2348%,31.76,4.40%,31.3813,13283947.545549,-26.65%,43403355.42,42454600.42
KEY,681665.0,0.7444%,21.87,-1.09%,21.9535,5855551.707806,-38.00%,92259200.11,91577535.11
KDCREIT SP,452600.0,1.2599%,0.0,0.00%,0.0,0.0,0.00%,36374768.0,35922168.0
D,378577.0,0.6388%,63.94,-0.87%,64.2999,6257869.093369,-22.30%,59645446.5,59266869.5
AFC LN,370075.0,2.5391%,0.0,0.00%,0.0,0.0,0.00%,14944880.0,14574805.0
TAP,349722.0,2.3544%,42.14,-1.40%,42.2045,4517448.047635,-29.26%,15203676.74,14853954.74
NEL NO,341000.0,2.5393%,0.0,0.00%,0.0,0.0,0.00%,13769720.0,13428720.0
LLOY,333380.0,0.7110%,0.0,0.00%,0.0,0.0,0.00%,47220524.0,46887144.0
ADRO,275000.0,1.1880%,0.0,0.00%,0.0,0.0,0.00%,23423720.0,23148720.0
INVH,159795.0,0.3315%,28.53,-0.83%,28.5237,4855720.690168,-49.87%,48365355.77,48205560.77
PRX,156145.0,9.8647%,0.0,0.00%,0.0,0.0,0.00%,1739009.0,1582864.0
1519,141800.0,3.3346%,0.0,0.00%,0.0,0.0,0.00%,4394193.0,4252393.0
6443,141000.0,0.6946%,0.0,0.00%,0.0,0.0,0.00%,20441168.0,20300168.0
LFST,134792.0,0.5913%,7.53,-0.53%,7.5428,3562500.784185,-90.52%,22930416.0,22795624.0
STAN,129579.0,6.2916%,0.0,0.00%,0.0,0.0,0.00%,2189149.0,2059570.0
AVGO,121633.0,0.0446%,421.28,0.92%,420.7549,11882589.455627,-45.55%,272930188.43,272808555.43
INGA,117485.0,2.1329%,0.0,0.00%,0.0,0.0,0.00%,5625755.0,5508270.0
PLUG,111941.0,0.1725%,3.11,-0.64%,3.1176,37028959.396656,-61.64%,65013298.0,64901357.0
NXT AU,111179.0,1.2460%,0.0,0.00%,0.0,0.0,0.00%,9033740.0,8922561.0
WFC,109805.0,0.0578%,80.81,-1.73%,81.2734,14632654.752226,8.10%,190100194.23,189990389.23
ROIV,101259.0,0.2354%,27.83,-2.45%,27.9919,4232293.863833,-39.66%,43119047.0,43017788.0
CNA,96732.0,1.8399%,48.04,-0.39%,48.1449,566859.983371,29.70%,5354134.0,5257402.0
SAN,95719.0,0.3367%,12.07,-0.98%,12.1463,5806915.556538,-33.36%,28520109.0,28424390.0
2618,93900.0,4.5246%,0.0,0.00%,0.0,0.0,0.00%,2169200.0,2075300.0
