Holding_Ticker,Shares_Change,Change_Pct,Price,Price_Change_Pct,VWAP,Volume,Volume_Change_Pct,Shares_T0,Shares_T1
-,367353759.72999954,7.8366%,0.0,0.00%,0.0,0.0,0.00%,5055000267.23,4687646507.5
AGPXX,148540761.07,57.2586%,0.0,0.00%,0.0,0.0,0.00%,407961638.71,259420877.64
PSKY,17433229.620000005,49.6703%,10.59,-3.46%,10.7124,9838283.08662,56.44%,52531103.59,35097873.97
F,13903723.110000014,5.4422%,12.49,0.89%,12.4909,35098178.45107,0.16%,269383290.49,255479567.38
VTRS,12154828.219999999,16.8096%,14.81,1.51%,14.7957,6991956.838643,-52.00%,84463509.81,72308681.59
AES,11907839.0,22.5238%,14.49,0.00%,14.4889,6971835.577339,-61.56%,64775536.49,52867697.49
HBAN,11310962.129999995,7.6567%,16.53,0.79%,16.5043,22398868.759605,39.69%,159037540.53,147726578.4
DOC,10014347.770000003,17.7127%,16.2,-1.40%,16.3354,6009154.515306,-27.38%,66552010.2,56537662.43
CAG,9920783.950000003,20.9432%,14.12,-0.35%,14.1879,16524033.107987,31.55%,57290839.120000005,47370055.17
PCG,9431498.779999971,6.2018%,16.39,-1.32%,16.5064,23772475.172269,9.36%,161508729.39,152077230.61
KVUE,9402633.040000007,7.5700%,17.53,0.23%,17.4737,29970380.789776,355.38%,133611488.53,124208855.49
BAX,9385479.330000002,32.4465%,18.49,1.82%,18.431,7138462.862294,41.31%,38311510.49,28926031.16
HPQ,9221893.969999999,11.4973%,19.76,-0.15%,19.7228,10155786.454333,-41.16%,89430859.75999999,80208965.78999999
HST,8913678.980000004,18.6258%,20.88,-0.10%,20.9466,6877745.97643,52.52%,56770287.88,47856608.9
KEY,8836137.280000001,10.7019%,21.91,1.29%,21.9325,8716958.052405,-35.95%,91402339.91,82566202.63
GEN,8316827.980000004,20.7149%,19.02,-0.11%,19.0533,5449566.494661,10.60%,48465769.02,40148941.04
NCLH,8282694.68,33.2874%,18.19,-1.73%,18.2733,12399865.565805,-17.60%,33165066.19,24882371.51
HPE,7946524.460000008,9.7782%,28.62,1.63%,28.5705,8437497.766203,-24.06%,89213906.62,81267382.16
KIM,7412302.190000005,13.7186%,23.88,0.80%,23.8055,5542677.180086,20.41%,61443345.88,54031043.69
WY,7405197.990000002,19.8858%,25.02,-0.04%,25.0222,3504601.623797,-12.17%,44643787.02,37238589.03
CPB,7333446.93,33.3459%,20.55,-0.34%,20.516,6449186.588313,-37.32%,29325485.55,21992038.62
HRL,7220372.919999998,26.0409%,21.47,-0.37%,21.5634,4659627.000677,5.10%,34947396.47,27727023.55
