Holding_Ticker,Shares_Change,Change_Pct,Price,Price_Change_Pct,VWAP,Volume,Volume_Change_Pct,Shares_T0,Shares_T1
-,159632922.6399994,3.2857%,0.0,0.00%,0.0,0.0,0.00%,5018036386.87,4858403464.2300005
SGAFT,6546000.0,6.0348%,0.0,0.00%,0.0,0.0,0.00%,115017100.0,108471100.0
20,5874000.0,2.0630%,0.0,0.00%,0.0,0.0,0.00%,290607064.0,284733064.0
AGPXX,5113786.299999952,1.0447%,0.0,0.00%,0.0,0.0,0.00%,494597875.4,489484089.1
CLP,3213728.1900000004,82.6727%,0.0,0.00%,0.0,0.0,0.00%,7101018.19,3887290.0
LTR AU,3007509.0,2.3965%,0.0,0.00%,0.0,0.0,0.00%,128501045.0,125493536.0
NVDA,2959472.339999914,0.2185%,225.83,2.91%,225.8165,150405386.66294,-6.40%,1357520310.78,1354560838.44
NEECU,2751975.0,100.0000%,0.0,0.00%,0.0,0.0,0.00%,2751975.0,0.0
COUR,2639691.8,46.0886%,5.31,-6.18%,5.3398,11214562.986637,136.84%,8367120.8,5727429.0
IUGXX,2345399.1899999976,0.5950%,0.0,0.00%,0.0,0.0,0.00%,396509692.09,394164292.9
BNP,2207299.0,46.9834%,0.0,0.00%,0.0,0.0,0.00%,6905341.0,4698042.0
NEECV,2063941.0,100.0000%,0.0,0.00%,0.0,0.0,0.00%,2063941.0,0.0
PLGO,1960739.0,100.0000%,20.24,0.00%,20.2837,467172.567459,0.00%,1960739.0,0.0
9660,1870544.0,2.0135%,0.0,0.00%,0.0,0.0,0.00%,94771339.0,92900795.0
INTC,1792183.1700000167,0.4044%,120.29,-7.07%,120.8396,115364423.234441,-35.73%,444958790.61,443166607.44
PLS AU,1642898.0,2.2997%,0.0,0.00%,0.0,0.0,0.00%,73081187.0,71438289.0
GSISW,1550000.0,9.3486%,0.0,0.00%,0.0,0.0,0.00%,18130000.0,16580000.0
AAPL,1508579.1199998856,0.1934%,298.87,2.11%,298.1137,52684260.34243,24.70%,781406663.8,779898084.6800001
WMT,1117266.7599999905,0.3472%,131.47,3.04%,131.106,13786552.946116,-26.27%,322927363.35,321810096.59000003
CYBR,1087000.0,100.0000%,0.0,0.00%,0.0,0.0,0.00%,2174000.0,1087000.0
AMZN,1079100.8299999833,0.2170%,270.13,0.42%,268.4421,39670915.752859,3.91%,498324172.82,497245071.99
NFLX,1039029.2100000381,0.3423%,87.56,2.47%,87.5056,30823502.116201,-24.00%,304624878.66,303585849.45
601958 C1,967500.0,2.5038%,0.0,0.00%,0.0,0.0,0.00%,39609315.0,38641815.0
CSCO,940823.5699999928,0.2839%,101.87,3.19%,105.4105,45241625.476023,42.03%,332290199.29,331349375.72
600392 C1,816000.0,2.4841%,0.0,0.00%,0.0,0.0,0.00%,33664981.0,32848981.0
CMCSA,792627.8700000048,0.2722%,24.94,-0.36%,24.8738,33453242.900927,-4.46%,291950441.9,291157814.03
MSFT,760777.1099999547,0.1895%,405.21,-1.81%,404.43,29667073.312232,-16.80%,402324347.77,401563570.66
AVGO,695270.8700000048,0.2545%,416.79,-2.72%,414.7475,16981163.087941,0.93%,273890391.3,273195120.43
1357,687500.0,2.0300%,0.0,0.00%,0.0,0.0,0.00%,34554473.0,33866973.0
600111 C1,665990.0,2.4782%,0.0,0.00%,0.0,0.0,0.00%,27539874.0,26873884.0
GOOGL,650426.7100000381,0.2200%,402.62,3.60%,398.2331,28144555.31422,-8.48%,296243497.35,295593070.64
PLTR,635063.1100000143,0.3349%,130.05,-5.00%,130.9793,55189399.671337,33.26%,190286172.0,189651108.89
AMD,593135.5,0.4092%,445.5,-2.90%,445.7989,30423354.005811,-33.98%,145552240.29,144959104.79
268,576000.0,2.0216%,0.0,0.00%,0.0,0.0,0.00%,29068686.0,28492686.0
GOOG,570909.0499999821,0.2333%,399.04,3.17%,395.0352,18160118.060676,11.31%,245276856.82,244705947.77
WBD,519756.95999997854,0.2440%,27.25,0.04%,27.2129,21012979.22454,27.03%,213529786.2,213010029.24
000725,516100.0,1.7408%,0.0,0.00%,0.0,0.0,0.00%,30162761.0,29646661.0
BAC,506753.22999995947,0.1370%,49.84,-1.40%,50.1894,29838010.534682,-9.94%,370303753.78,369797000.55
VUL AU,506646.0,2.4508%,0.0,0.00%,0.0,0.0,0.00%,21179251.0,20672605.0
TSLA,491671.4499999881,0.2969%,445.27,0.06%,445.4215,68283229.505879,-12.88%,166099810.45,165608139.0
ILU AU,468300.0,2.5016%,0.0,0.00%,0.0,0.0,0.00%,19188077.0,18719777.0
3690,463200.0,1.9039%,0.0,0.00%,0.0,0.0,0.00%,24792707.0,24329507.0
1024,446800.0,1.9981%,0.0,0.00%,0.0,0.0,0.00%,22808326.0,22361526.0
MRVL,441236.0,0.8083%,177.95,4.16%,177.3658,31862553.57518,38.85%,55029983.0,54588747.0
LAC,441000.0,2.2660%,5.48,-5.35%,5.4629,10644593.319634,-19.19%,19902988.0,19461988.0
LRCX,430765.1899999976,0.3406%,295.44,-0.21%,294.7738,8633086.2683,-5.65%,126903846.24,126473081.05
1772 HK,414800.0,2.4325%,0.0,0.00%,0.0,0.0,0.00%,17466973.0,17052173.0
MU,411918.25,0.4104%,803.63,1.04%,800.2631,54875148.931985,-22.68%,100770065.58,100358147.33
CSX,400561.78999999166,0.2816%,44.4,-0.76%,44.5068,13360747.219299,26.24%,142666266.53,142265704.74
600549 C1,396000.0,2.5059%,0.0,0.00%,0.0,0.0,0.00%,16198721.0,15802721.0
MCHP,394108.6700000018,0.5649%,96.71,-2.34%,97.0133,12894108.858533,-34.30%,70165350.7,69771242.03
LYC AU,393555.0,2.4795%,0.0,0.00%,0.0,0.0,0.00%,16265859.0,15872304.0
KDP,382552.46000000834,0.3431%,29.31,2.09%,29.2572,8361133.597957,-13.99%,111872894.17,111490341.71
QCOM,376489.7800000012,0.3295%,213.17,-10.26%,213.7704,26226304.744249,-42.33%,114643444.31,114266954.53
1208 HK,360000.0,0.2289%,0.0,0.00%,0.0,0.0,0.00%,157609780.0,157249780.0
TXN,342534.4100000113,0.4019%,306.34,2.88%,306.231,7546495.866272,-19.27%,85564476.17,85221941.75999999
PEP,341588.4399999976,0.3299%,149.27,-0.09%,149.6834,5524860.682624,-34.02%,103899843.85,103558255.41
MDLZ,340750.29000000656,0.3044%,61.52,0.18%,61.3514,10031992.952722,41.55%,112288480.7,111947730.41
KHC,333089.1099999994,0.3482%,23.18,-0.34%,23.2606,12116243.136147,-13.22%,96001462.37,95668373.26
603067 C1,331409.0,2.5091%,0.0,0.00%,0.0,0.0,0.00%,13539544.0,13208135.0
KDCREIT SP,328600.0,0.8465%,0.0,0.00%,0.0,0.0,0.00%,39147068.0,38818468.0
SLI,320070.0,2.1774%,4.07,-1.21%,4.1122,2215726.701259,-4.57%,15019846.0,14699776.0
SOSI SS,316513.0,4.8623%,0.0,0.00%,0.0,0.0,0.00%,6826039.0,6509526.0
META,297668.1400000006,0.2437%,616.63,2.97%,611.4483,14634394.707638,-8.19%,122437986.0,122140317.86
000100,294600.0,2.0052%,0.0,0.00%,0.0,0.0,0.00%,14986294.0,14691694.0
UMC,290640.0,2.1377%,15.92,2.12%,15.9814,11526657.01919,-16.83%,13886840.0,13596200.0
GILD,278273.4200000018,0.2630%,133.05,-0.35%,133.0508,6666706.371804,23.80%,106081149.94,105802876.52
UBFUT,276000.0,1.3581%,0.0,0.00%,0.0,0.0,0.00%,20598000.0,20322000.0
FAST,272217.0199999958,0.2527%,43.77,1.09%,43.5521,7430005.410301,-18.44%,107977934.32,107705717.3
INR AU,271832.0,2.0825%,0.0,0.00%,0.0,0.0,0.00%,13325292.0,13053460.0
AMAT,267834.5799999982,0.3456%,436.61,-1.58%,434.3902,7839354.220125,-5.82%,77775647.2,77507812.62
9660 HK,265200.0,0.2835%,0.0,0.00%,0.0,0.0,0.00%,93796200.0,93531000.0
788 HK,265000.0,0.8406%,0.0,0.00%,0.0,0.0,0.00%,31788750.0,31523750.0
SBUX,260404.83999998868,0.3301%,105.95,0.20%,106.4054,8638887.386548,32.92%,79141246.58,78880841.74000001
SHOP,257997.0,0.7777%,95.4,-6.96%,96.0151,20772083.504067,10.47%,33430981.0,33172984.0
9888,255882.0,1.7288%,0.0,0.00%,0.0,0.0,0.00%,15057078.0,14801196.0
MNST,253141.46000000834,0.3605%,85.93,-0.56%,86.0596,6515346.359215,-16.41%,70480119.87,70226978.41
