Holding_Ticker,Shares_Change,Change_Pct,Price,Price_Change_Pct,VWAP,Volume,Volume_Change_Pct,Shares_T0,Shares_T1
-,34905044.20000076,0.7388%,0.0,0.00%,0.0,0.0,0.00%,4759248301.68,4724343257.48
AGPXX,20705666.21000004,5.1437%,0.0,0.00%,0.0,0.0,0.00%,423251186.42,402545520.21
IUGXX,2307836.9200000167,0.5856%,0.0,0.00%,0.0,0.0,0.00%,396372587.31,394064750.39
GSISW,1900000.0,12.0329%,0.0,0.00%,0.0,0.0,0.00%,17690000.0,15790000.0
NXTAAB AU,1314805.0,100.0000%,0.0,0.00%,0.0,0.0,0.00%,1314805.0,0.0
MS,843552.7399999946,0.7862%,191.05,0.92%,191.2545,4492143.479453,-12.82%,108138132.05,107294579.31
AMZN,456003.4499999881,0.0921%,255.36,2.18%,253.7638,36065067.564326,-15.96%,495332257.36,494876253.91
ET,345462.0,3.9445%,19.07,0.58%,19.0142,7544393.083581,-20.36%,9103566.0,8758104.0
VG,342954.0,2.5415%,12.34,2.07%,12.355,17771198.192275,-24.02%,13836940.0,13493986.0
TSLA,342523.0899999738,0.2078%,387.51,0.28%,390.6377,62362785.897682,23.44%,165200289.51,164857766.42000002
PAA,258942.0,4.5069%,21.2,0.66%,21.2641,2362767.41238,-20.89%,6004368.0,5745426.0
TRP,246643.0,4.0678%,60.06,0.00%,60.067,2437261.0205,-7.23%,6309908.0,6063265.0
ENB,243492.0,3.5987%,51.8,-0.10%,51.8304,4567095.607982,34.89%,7009577.0,6766085.0
PLTR,217088.65000000596,0.1151%,152.62,4.56%,151.1566,43701459.47963,-2.49%,188820701.62,188603612.97
SBUX,210566.7199999988,0.2676%,99.52,1.76%,99.0997,5730091.078804,25.59%,78890441.52,78679874.8
CLF,209694.0,0.3255%,9.5,4.05%,9.2359,27138659.812599,9.20%,64622075.0,64412381.0
KMI,201126.24000000954,0.1308%,31.81,0.76%,31.8649,13776941.877174,38.27%,153956683.81,153755557.57
AGNC,197737.0,0.5946%,10.91,0.00%,10.9361,16771414.157123,-16.18%,33451247.0,33253510.0
KOS,192791.0,0.5400%,2.85,7.55%,2.7689,14444733.4312,22.40%,35892119.0,35699328.0
AM,180064.0,0.5450%,21.24,3.06%,21.1669,4661644.197567,77.46%,33220552.0,33040488.0
EPD,177975.0,4.3247%,37.74,1.42%,37.5494,7287264.708776,193.72%,4293303.0,4115328.0
URG,168350.0,0.3771%,1.81,6.47%,1.7782,11505933.5056,0.73%,44807646.0,44639296.0
CMG,167128.06000000238,0.2150%,35.11,-2.61%,35.1613,15801814.858917,21.46%,77915286.11,77748158.05
BKNG,157593.5399999991,0.2717%,179.4,-6.00%,181.1394,9374741.156524,118.98%,58150008.4,57992414.86
LLOY,156455.0,0.3358%,0.0,0.00%,0.0,0.0,0.00%,46745680.0,46589225.0
AFC LN,148030.0,1.1178%,0.0,0.00%,0.0,0.0,0.00%,13390565.0,13242535.0
ORLY,147446.1099999994,0.2339%,93.92,0.12%,93.9882,4237897.37794,-12.29%,63179244.92,63031798.81
PBA,144612.0,4.3455%,42.66,0.61%,42.6312,701834.698733,-7.49%,3472506.0,3327894.0
UEC,140605.0,0.1810%,15.15,4.84%,15.0228,9292782.892645,24.91%,77844235.0,77703630.0
TJX,140030.2199999988,0.2147%,158.47,-0.49%,158.7208,2582138.594832,-20.22%,65373724.47,65233694.25
NEL NO,136400.0,1.1179%,0.0,0.00%,0.0,0.0,0.00%,12337520.0,12201120.0
WES,134106.0,4.0052%,40.92,0.84%,40.7604,2517233.821186,31.49%,3482371.0,3348265.0
CCL,127652.57999999821,0.1905%,26.94,-1.54%,27.1626,17360180.485177,-40.45%,67135191.94,67007539.36
MPLX,114230.0,4.4398%,55.7,0.41%,55.7267,1652735.014922,-39.83%,2687079.0,2572849.0
WARBABAN,110354.75,5.0000%,0.0,0.00%,0.0,0.0,0.00%,2317449.75,2207095.0
WMB,107219.66999998689,0.1330%,71.1,0.95%,71.0395,5143408.056282,-2.18%,80700256.1,80593036.43
