ticker,Total_Shares,ETF_Count,Holding_ETFs
WAWI,422991.0,1,SCZ小型股
FND,422887.0,4,"SQLT美国小型股质量因子, ISCG小型股成长, IWP中型成长股, MDYV中型市值价值"
HAUTO,422625.0,1,SCZ小型股
SLSN,422185.0,3,"IWC微盘股, IWM罗素小盘股2000指数, IWC微型股"
PNFP,421783.0,3,"KBE银行, EUSA美国等权重, MDYV中型市值价值"
NPH,421075.0,1,PICK全球金属与采矿
NMRA,420992.0,1,IBB纳斯达克生物技术
IPI,420379.0,5,"IWC微盘股, IWN罗素 2000 价值, IFRA 美国基础设施, IWM罗素小盘股2000指数, IWC微型股"
AIRS,419873.0,4,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, IWC微型股"
BRT,419663.0,4,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, IWC微型股"
CBNK,419289.0,4,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, IWC微型股"
MLR,418167.0,5,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, SMLV美国小型股低波动率指数, IWC微型股"
CMCX,418010.0,1,SCZ小型股
BJ,417312.0,5,"SQLT美国小型股质量因子, xrt零售, ISCG小型股成长, IWP中型成长股, MDYV中型市值价值"
PKBK,416779.0,5,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, SMLV美国小型股低波动率指数, IWC微型股"
MBLY,416653.0,3,"自动驾驶及电动汽车DRIV, ISCG小型股成长, HAIL智能出行"
MG,416631.0,4,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, IWC微型股"
SGC,416214.0,4,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, IWC微型股"
DYVOX,415982.0,1,SCZ小型股
AOUT,414797.0,4,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, IWC微型股"
HURN,414117.0,4,"SQLT美国小型股质量因子, ISCG小型股成长, IWM罗素小盘股2000指数, SMLV美国小型股低波动率指数"
COFA,413558.0,1,SCZ小型股
MED,411893.0,4,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, IWC微型股"
BAG,410784.0,1,SCZ小型股
OCI,410529.0,1,SCZ小型股
PUM,409805.0,1,SCZ小型股
