ticker,Total_Shares,ETF_Count,Holding_ETFs
NVDA,206795704.0,35,"QUAL美国质量因子, BAI创新与科技, DYLG道琼斯 30®备兑看涨期权及成长型, SMH 半导体, 科技XLK, smhx无晶圆半导体, xsd半导体, QYLG纳斯达克 100®备兑看涨期权及成长型, DYNF美国股票因子轮动主动型, TECB美国科技突破多行业, TYLG信息技术类备兑看涨期权及成长型, ARTY人工智能与科技, QRMI纳斯达克 100®风险管理收益, XNTK科技, IYW美国科技, MTUM美国动量因子, trut科技, 自动驾驶及电动汽车DRIV, 数据中心及数字基础设施DTCR, GXPTMSCI 信息技术, DJIA道琼斯30备兑看涨期权, EUSA美国等权重, KRMA有意识企业, HAIL智能出行, XSD半导体, USMV美国最小波动率, node链上经济, ibot机器人, IGM拓展科技行业, XYLG标普 500备兑看涨期权及成长型, 人工智能与机器人botz, SOXX 半导体, 人工智能与科技AIQ, CHPXAI 半导体&量子, THRO美国主题轮动"
INTC,143211079.0,26,"BAI创新与科技, SMH 半导体, VLUE美国价值因子, 科技XLK, xsd半导体, QYLG纳斯达克 100®备兑看涨期权及成长型, DYNF美国股票因子轮动主动型, TECB美国科技突破多行业, TYLG信息技术类备兑看涨期权及成长型, QRMI纳斯达克 100®风险管理收益, XNTK科技, IYW美国科技, MTUM美国动量因子, trut科技, 自动驾驶及电动汽车DRIV, 数据中心及数字基础设施DTCR, GXPTMSCI 信息技术, EUSA美国等权重, HAIL智能出行, XSD半导体, IGM拓展科技行业, XYLG标普 500备兑看涨期权及成长型, SOXX 半导体, 人工智能与科技AIQ, CHPXAI 半导体&量子, THRO美国主题轮动"
AAPL,85065496.0,22,"QUAL美国质量因子, DYLG道琼斯 30®备兑看涨期权及成长型, 科技XLK, QYLG纳斯达克 100®备兑看涨期权及成长型, DYNF美国股票因子轮动主动型, TECB美国科技突破多行业, TYLG信息技术类备兑看涨期权及成长型, QRMI纳斯达克 100®风险管理收益, XNTK科技, IYW美国科技, trut科技, GXPTMSCI 信息技术, DJIA道琼斯30备兑看涨期权, EUSA美国等权重, KRMA有意识企业, MILN千禧一代消费者, USMV美国最小波动率, IGM拓展科技行业, XYLG标普 500备兑看涨期权及成长型, 人工智能与科技AIQ, THRO美国主题轮动, LGLV美国大盘低波动率指数"
XOM,75085637.0,12,"XOP石油天然气, GXPE能源, DYNF美国股票因子轮动主动型, MTUM美国动量因子, EUSA美国等权重, 能源XLE, USMV美国最小波动率, IYE美国能源, XYLG标普 500备兑看涨期权及成长型, TEKX变革性科技加速器, THRO美国主题轮动, LGLV美国大盘低波动率指数"
UEC,72031556.0,5,"铀矿核能ura, XME金属与矿业, nlr铀和核能, ISCG小型股成长, IWM罗素小盘股2000指数"
T,71827364.0,11,"EGLE标普 500®美国营收领先, truc通信服务, VLUE美国价值因子, GXPC通信服务, DYNF美国股票因子轮动主动型, 通信服务XLC, EUSA美国等权重, USMV美国最小波动率, XYLG标普 500备兑看涨期权及成长型, THRO美国主题轮动, LGLV美国大盘低波动率指数"
PLUG,69537390.0,9,"CTEC气候科技, IWN罗素 2000 价值, 自动驾驶及电动汽车DRIV, HAIL智能出行, IWM罗素小盘股2000指数, HYDR氢能, 美国电器化ZAP, CNRG清洁能源, ICLN全球清洁能源"
BRMS,66285800.0,1,PICK全球金属与采矿
BAC,61565505.0,10,"EGLE标普 500®美国营收领先, VLUE美国价值因子, truf金融, KBE银行, DYNF美国股票因子轮动主动型, EUSA美国等权重, KRMA有意识企业, XYLG标普 500备兑看涨期权及成长型, 金融XLF, THRO美国主题轮动"
SLB,59895465.0,9,"QUAL美国质量因子, GXPE能源, IEZ美国石油设备及服务, oih石油服务, EUSA美国等权重, 能源XLE, IYE美国能源, XYLG标普 500备兑看涨期权及成长型, THRO美国主题轮动"
CSCO,59367932.0,23,"EGLE标普 500®美国营收领先, DYLG道琼斯 30®备兑看涨期权及成长型, VLUE美国价值因子, 科技XLK, QYLG纳斯达克 100®备兑看涨期权及成长型, DYNF美国股票因子轮动主动型, TYLG信息技术类备兑看涨期权及成长型, QRMI纳斯达克 100®风险管理收益, XNTK科技, trut科技, GXPTMSCI 信息技术, DJIA道琼斯30备兑看涨期权, EUSA美国等权重, KRMA有意识企业, USMV美国最小波动率, IGM拓展科技行业, XYLG标普 500备兑看涨期权及成长型, IDGT美国数字基础设施及房地产, 人工智能与科技AIQ, CHPXAI 半导体&量子, FLAG标普 500美国市场领导者前 50 强, THRO美国主题轮动, LGLV美国大盘低波动率指数"
CDE,59337606.0,9,"XME金属与矿业, IWN罗素 2000 价值, ISCG小型股成长, EUSA美国等权重, IWM罗素小盘股2000指数, AUAU黄金矿业, 白银SIL, GOEX黄金勘探者, THRO美国主题轮动"
PCG,58717998.0,8,"公用事业XLU, EGLE标普 500®美国营收领先, VLUE美国价值因子, nlr铀和核能, POWR美国电力基础设施, EUSA美国等权重, IFRA 美国基础设施, XYLG标普 500备兑看涨期权及成长型"
PGEO,55912100.0,1,ICLN全球清洁能源
KMI,55842272.0,10,"EGLE标普 500®美国营收领先, GXPE能源, 能源基础设施MLPX, EUSA美国等权重, LNGX美国天然气, 能源XLE, IYE美国能源, IFRA 美国基础设施, XYLG标普 500备兑看涨期权及成长型, LGLV美国大盘低波动率指数"
DNN,55784913.0,1,nlr铀和核能
ACHR,55532420.0,5,"IDEF国防工业主动型, XAR航空航天与国防, ISCG小型股成长, IWM罗素小盘股2000指数, ITA 航空航天与国防"
CLP,55324516.0,3,"PICK全球金属与采矿, IDRV自驱汽车与科技, ICLN全球清洁能源"
PFE,54262771.0,10,"EGLE标普 500®美国营收领先, truh医疗保健, VLUE美国价值因子, DYNF美国股票因子轮动主动型, EUSA美国等权重, pph制药, 医疗XLV, XYLG标普 500备兑看涨期权及成长型, FLAG标普 500美国市场领导者前 50 强, THRO美国主题轮动"
GERN,53681591.0,4,"XBI生物科技, IWM罗素小盘股2000指数, IBB纳斯达克生物技术, 生物技术XBI"
RXRX,50953219.0,6,"HEAL健康科技 ETF, XBI生物科技, ISCG小型股成长, IWM罗素小盘股2000指数, IBB纳斯达克生物技术, 生物技术XBI"
RIG,47328508.0,5,"IEZ美国石油设备及服务, IWN罗素 2000 价值, oih石油服务, ISCG小型股成长, IWM罗素小盘股2000指数"
CMCSA,46220680.0,13,"EGLE标普 500®美国营收领先, VLUE美国价值因子, GXPC通信服务, QYLG纳斯达克 100®备兑看涨期权及成长型, DYNF美国股票因子轮动主动型, QRMI纳斯达克 100®风险管理收益, FLOW美国现金流之王100, 通信服务XLC, EUSA美国等权重, KRMA有意识企业, XYLG标普 500备兑看涨期权及成长型, THRO美国主题轮动, LGLV美国大盘低波动率指数"
AVGO,45766526.0,26,"BAI创新与科技, SMH 半导体, 科技XLK, smhx无晶圆半导体, xsd半导体, QYLG纳斯达克 100®备兑看涨期权及成长型, DYNF美国股票因子轮动主动型, TYLG信息技术类备兑看涨期权及成长型, ARTY人工智能与科技, QRMI纳斯达克 100®风险管理收益, XNTK科技, IYW美国科技, MTUM美国动量因子, trut科技, 数据中心及数字基础设施DTCR, GXPTMSCI 信息技术, EUSA美国等权重, KRMA有意识企业, XSD半导体, USMV美国最小波动率, IGM拓展科技行业, XYLG标普 500备兑看涨期权及成长型, SOXX 半导体, 人工智能与科技AIQ, CHPXAI 半导体&量子, THRO美国主题轮动"
WBD,45183166.0,10,"EGLE标普 500®美国营收领先, GXPC通信服务, QYLG纳斯达克 100®备兑看涨期权及成长型, QRMI纳斯达克 100®风险管理收益, 通信服务XLC, MTUM美国动量因子, EUSA美国等权重, XYLG标普 500备兑看涨期权及成长型, SCZ小型股, SCZ小型股"
HL,44964079.0,9,"XME金属与矿业, IWN罗素 2000 价值, MDYG中型成长股, ISCG小型股成长, IWM罗素小盘股2000指数, AUAU黄金矿业, 白银SIL, GOEX黄金勘探者, THRO美国主题轮动"
URG,43202751.0,2,"铀矿核能ura, XME金属与矿业"
LUMN,43010047.0,8,"SLYG小型股600成长, XJR标普小型股, IWN罗素 2000 价值, SPSM小型股, ESIX标普小型股, IWM罗素小盘股2000指数, IJT标普小型股600价值, IJS小型股600价值"
VZ,42332419.0,15,"EGLE标普 500®美国营收领先, DYLG道琼斯 30®备兑看涨期权及成长型, truc通信服务, VLUE美国价值因子, GXPC通信服务, DYNF美国股票因子轮动主动型, 通信服务XLC, DJIA道琼斯30备兑看涨期权, EUSA美国等权重, KRMA有意识企业, USMV美国最小波动率, XYLG标普 500备兑看涨期权及成长型, FLAG标普 500美国市场领导者前 50 强, THRO美国主题轮动, LGLV美国大盘低波动率指数"
ARU,41941177.0,3,"PICK全球金属与采矿, IDEF国防工业主动型, SCZ小型股"
MSFT,40776408.0,29,"QUAL美国质量因子, EGLE标普 500®美国营收领先, DYLG道琼斯 30®备兑看涨期权及成长型, 科技XLK, xsw软件, QYLG纳斯达克 100®备兑看涨期权及成长型, XSW软件与服务, DYNF美国股票因子轮动主动型, TECB美国科技突破多行业, TYLG信息技术类备兑看涨期权及成长型, ARTY人工智能与科技, QRMI纳斯达克 100®风险管理收益, XNTK科技, IYW美国科技, trut科技, 自动驾驶及电动汽车DRIV, GXPTMSCI 信息技术, DJIA道琼斯30备兑看涨期权, EUSA美国等权重, KRMA有意识企业, DECO数字资产生态系统, USMV美国最小波动率, IGM拓展科技行业, XYLG标普 500备兑看涨期权及成长型, 人工智能与科技AIQ, TEKX变革性科技加速器, FLAG标普 500美国市场领导者前 50 强, THRO美国主题轮动, LGLV美国大盘低波动率指数"
AMD,40442511.0,27,"BAI创新与科技, SMH 半导体, 科技XLK, smhx无晶圆半导体, xsd半导体, QYLG纳斯达克 100®备兑看涨期权及成长型, DYNF美国股票因子轮动主动型, TECB美国科技突破多行业, TYLG信息技术类备兑看涨期权及成长型, ARTY人工智能与科技, QRMI纳斯达克 100®风险管理收益, XNTK科技, IYW美国科技, MTUM美国动量因子, trut科技, 数据中心及数字基础设施DTCR, GXPTMSCI 信息技术, EUSA美国等权重, KRMA有意识企业, XSD半导体, USMV美国最小波动率, IGM拓展科技行业, XYLG标普 500备兑看涨期权及成长型, SOXX 半导体, 人工智能与科技AIQ, CHPXAI 半导体&量子, THRO美国主题轮动"
NEE,40418919.0,12,"公用事业XLU, EGLE标普 500®美国营收领先, DYNF美国股票因子轮动主动型, POWR美国电力基础设施, EUSA美国等权重, USMV美国最小波动率, IFRA 美国基础设施, XYLG标普 500备兑看涨期权及成长型, 美国电器化ZAP, smog低碳能源, THRO美国主题轮动, CNRG清洁能源"
LRCX,40123549.0,21,"QUAL美国质量因子, BAI创新与科技, SMH 半导体, 科技XLK, QYLG纳斯达克 100®备兑看涨期权及成长型, DYNF美国股票因子轮动主动型, TYLG信息技术类备兑看涨期权及成长型, QRMI纳斯达克 100®风险管理收益, XNTK科技, IYW美国科技, MTUM美国动量因子, trut科技, GXPTMSCI 信息技术, EUSA美国等权重, DECO数字资产生态系统, ibot机器人, IGM拓展科技行业, XYLG标普 500备兑看涨期权及成长型, SOXX 半导体, TEKX变革性科技加速器, THRO美国主题轮动"
QCOM,38327044.0,28,"QUAL美国质量因子, SMH 半导体, VLUE美国价值因子, 科技XLK, smhx无晶圆半导体, xsd半导体, QYLG纳斯达克 100®备兑看涨期权及成长型, TECB美国科技突破多行业, TYLG信息技术类备兑看涨期权及成长型, QRMI纳斯达克 100®风险管理收益, FLOW美国现金流之王100, XNTK科技, IYW美国科技, trut科技, 自动驾驶及电动汽车DRIV, GXPTMSCI 信息技术, EUSA美国等权重, KRMA有意识企业, HAIL智能出行, XSD半导体, USMV美国最小波动率, IGM拓展科技行业, XYLG标普 500备兑看涨期权及成长型, SOXX 半导体, IDGT美国数字基础设施及房地产, 人工智能与科技AIQ, CHPXAI 半导体&量子, THRO美国主题轮动"
CVX,38177213.0,11,"DYLG道琼斯 30®备兑看涨期权及成长型, XOP石油天然气, GXPE能源, DJIA道琼斯30备兑看涨期权, EUSA美国等权重, KRMA有意识企业, 能源XLE, USMV美国最小波动率, IYE美国能源, XYLG标普 500备兑看涨期权及成长型, THRO美国主题轮动"
F,36154080.0,10,"EGLE标普 500®美国营收领先, VLUE美国价值因子, FLOW美国现金流之王100, trud可选消费品, 消费电子_非必需XLY, 自动驾驶及电动汽车DRIV, EUSA美国等权重, HAIL智能出行, XYLG标普 500备兑看涨期权及成长型, THRO美国主题轮动"
PLTR,35700563.0,23,"IDEF国防工业主动型, EGLE标普 500®美国营收领先, BAI创新与科技, 科技XLK, xsw软件, QYLG纳斯达克 100®备兑看涨期权及成长型, XSW软件与服务, DYNF美国股票因子轮动主动型, TECB美国科技突破多行业, TYLG信息技术类备兑看涨期权及成长型, ARTY人工智能与科技, QRMI纳斯达克 100®风险管理收益, XNTK科技, 国防科技 SHLD, IYW美国科技, MTUM美国动量因子, trut科技, GXPTMSCI 信息技术, EUSA美国等权重, USMV美国最小波动率, IGM拓展科技行业, XYLG标普 500备兑看涨期权及成长型, 人工智能与科技AIQ"
BREN,35086600.0,1,ICLN全球清洁能源
AMMN,34150912.0,2,"PICK全球金属与采矿, ICOP铜及金属矿业"
MNKD,33479966.0,6,"AGNG老龄化人口, XBI生物科技, ISCG小型股成长, IWM罗素小盘股2000指数, IBB纳斯达克生物技术, 生物技术XBI"
NFLX,33054096.0,17,"QUAL美国质量因子, truc通信服务, GXPC通信服务, QYLG纳斯达克 100®备兑看涨期权及成长型, DYNF美国股票因子轮动主动型, TECB美国科技突破多行业, QRMI纳斯达克 100®风险管理收益, XNTK科技, 通信服务XLC, EUSA美国等权重, KRMA有意识企业, MILN千禧一代消费者, USMV美国最小波动率, IGM拓展科技行业, XYLG标普 500备兑看涨期权及成长型, 人工智能与科技AIQ, THRO美国主题轮动"
TTD,32718347.0,7,"EGLE标普 500®美国营收领先, GXPC通信服务, 通信服务XLC, EUSA美国等权重, KRMA有意识企业, IWP中型成长股, XYLG标普 500备兑看涨期权及成长型"
HAL,32659426.0,10,"QUAL美国质量因子, VLUE美国价值因子, GXPE能源, IEZ美国石油设备及服务, oih石油服务, EUSA美国等权重, 能源XLE, IYE美国能源, XYLG标普 500备兑看涨期权及成长型, THRO美国主题轮动"
IBRX,32494571.0,7,"IWN罗素 2000 价值, TECB美国科技突破多行业, XBI生物科技, ISCG小型股成长, IWM罗素小盘股2000指数, IBB纳斯达克生物技术, 生物技术XBI"
AMZN,32493180.0,20,"EGLE标普 500®美国营收领先, DYLG道琼斯 30®备兑看涨期权及成长型, QYLG纳斯达克 100®备兑看涨期权及成长型, DYNF美国股票因子轮动主动型, TECB美国科技突破多行业, QRMI纳斯达克 100®风险管理收益, xrt零售, XNTK科技, trud可选消费品, 消费电子_非必需XLY, DJIA道琼斯30备兑看涨期权, EUSA美国等权重, KRMA有意识企业, MILN千禧一代消费者, USMV美国最小波动率, XYLG标普 500备兑看涨期权及成长型, 人工智能与科技AIQ, FLAG标普 500美国市场领导者前 50 强, THRO美国主题轮动, EBIZ电子商务"
SMR,31849346.0,7,"铀矿核能ura, PICK全球金属与采矿, nlr铀和核能, ISCG小型股成长, IWM罗素小盘股2000指数, 美国电器化ZAP, SCZ小型股"
KOS,31612228.0,5,"XOP石油天然气, IEO美国天然气勘探与生产, IWN罗素 2000 价值, LNGX美国天然气, IWM罗素小盘股2000指数"
WMB,31553174.0,12,"EGLE标普 500®美国营收领先, GXPE能源, 能源基础设施MLPX, EUSA美国等权重, LNGX美国天然气, 能源XLE, USMV美国最小波动率, IYE美国能源, IFRA 美国基础设施, node链上经济, XYLG标普 500备兑看涨期权及成长型, LGLV美国大盘低波动率指数"
IOVA,31220160.0,6,"IWN罗素 2000 价值, TECB美国科技突破多行业, XBI生物科技, IWM罗素小盘股2000指数, IBB纳斯达克生物技术, 生物技术XBI"
JNJ,30647841.0,16,"QUAL美国质量因子, EGLE标普 500®美国营收领先, truh医疗保健, DYLG道琼斯 30®备兑看涨期权及成长型, AGNG老龄化人口, DYNF美国股票因子轮动主动型, MTUM美国动量因子, DJIA道琼斯30备兑看涨期权, EUSA美国等权重, KRMA有意识企业, pph制药, USMV美国最小波动率, 医疗XLV, XYLG标普 500备兑看涨期权及成长型, THRO美国主题轮动, LGLV美国大盘低波动率指数"
WMT,30229076.0,17,"QUAL美国质量因子, EGLE标普 500®美国营收领先, DYLG道琼斯 30®备兑看涨期权及成长型, QYLG纳斯达克 100®备兑看涨期权及成长型, DYNF美国股票因子轮动主动型, QRMI纳斯达克 100®风险管理收益, xrt零售, MTUM美国动量因子, DJIA道琼斯30备兑看涨期权, EUSA美国等权重, KRMA有意识企业, 日常消费_必需XLP, USMV美国最小波动率, XYLG标普 500备兑看涨期权及成长型, FLAG标普 500美国市场领导者前 50 强, THRO美国主题轮动, LGLV美国大盘低波动率指数"
RTX,29808916.0,14,"IDEF国防工业主动型, EGLE标普 500®美国营收领先, XAR航空航天与国防, DYNF美国股票因子轮动主动型, 国防科技 SHLD, MTUM美国动量因子, EUSA美国等权重, USMV美国最小波动率, XYLG标普 500备兑看涨期权及成长型, 工业XLI, IYJ美国工业, THRO美国主题轮动, LGLV美国大盘低波动率指数, ITA 航空航天与国防"
MU,29280959.0,29,"EGLE标普 500®美国营收领先, BAI创新与科技, SMH 半导体, VLUE美国价值因子, 科技XLK, xsd半导体, QYLG纳斯达克 100®备兑看涨期权及成长型, DYNF美国股票因子轮动主动型, TYLG信息技术类备兑看涨期权及成长型, ARTY人工智能与科技, QRMI纳斯达克 100®风险管理收益, XNTK科技, IYW美国科技, MTUM美国动量因子, trut科技, 数据中心及数字基础设施DTCR, GXPTMSCI 信息技术, EUSA美国等权重, KRMA有意识企业, XSD半导体, DECO数字资产生态系统, USMV美国最小波动率, IGM拓展科技行业, XYLG标普 500备兑看涨期权及成长型, SOXX 半导体, 人工智能与科技AIQ, CHPXAI 半导体&量子, TEKX变革性科技加速器, THRO美国主题轮动"
BKR,29227205.0,11,"GXPE能源, IEZ美国石油设备及服务, QYLG纳斯达克 100®备兑看涨期权及成长型, TECB美国科技突破多行业, QRMI纳斯达克 100®风险管理收益, oih石油服务, EUSA美国等权重, 能源XLE, IYE美国能源, XYLG标普 500备兑看涨期权及成长型, THRO美国主题轮动"
MRK,28289683.0,16,"QUAL美国质量因子, EGLE标普 500®美国营收领先, truh医疗保健, DYLG道琼斯 30®备兑看涨期权及成长型, VLUE美国价值因子, AGNG老龄化人口, TECB美国科技突破多行业, DJIA道琼斯30备兑看涨期权, EUSA美国等权重, KRMA有意识企业, pph制药, USMV美国最小波动率, 医疗XLV, XYLG标普 500备兑看涨期权及成长型, FLAG标普 500美国市场领导者前 50 强, THRO美国主题轮动"
WFC,27677993.0,10,"EGLE标普 500®美国营收领先, VLUE美国价值因子, truf金融, KBE银行, DYNF美国股票因子轮动主动型, MTUM美国动量因子, EUSA美国等权重, XYLG标普 500备兑看涨期权及成长型, 金融XLF, THRO美国主题轮动"
MRVL,27426664.0,18,"SMH 半导体, smhx无晶圆半导体, xsd半导体, QYLG纳斯达克 100®备兑看涨期权及成长型, ARTY人工智能与科技, QRMI纳斯达克 100®风险管理收益, XNTK科技, IYW美国科技, 数据中心及数字基础设施DTCR, GXPTMSCI 信息技术, EUSA美国等权重, XSD半导体, USMV美国最小波动率, IGM拓展科技行业, SOXX 半导体, 人工智能与科技AIQ, CHPXAI 半导体&量子, THRO美国主题轮动"
CLF,25940073.0,5,"PICK全球金属与采矿, XME金属与矿业, IYM美国基础材料, IFRA 美国基础设施, MDYV中型市值价值"
COP,25928441.0,10,"EGLE标普 500®美国营收领先, XOP石油天然气, IEO美国天然气勘探与生产, GXPE能源, EUSA美国等权重, KRMA有意识企业, 能源XLE, IYE美国能源, XYLG标普 500备兑看涨期权及成长型, THRO美国主题轮动"
JPM,25526326.0,13,"EGLE标普 500®美国营收领先, DYLG道琼斯 30®备兑看涨期权及成长型, truf金融, KBE银行, DYNF美国股票因子轮动主动型, MTUM美国动量因子, DJIA道琼斯30备兑看涨期权, EUSA美国等权重, KRMA有意识企业, DECO数字资产生态系统, XYLG标普 500备兑看涨期权及成长型, 金融XLF, THRO美国主题轮动"
NWSA,25260950.0,5,"GXPC通信服务, 通信服务XLC, EUSA美国等权重, XYLG标普 500备兑看涨期权及成长型, LGLV美国大盘低波动率指数"
PTEN,25063875.0,8,"IEZ美国石油设备及服务, XJR标普小型股, IWN罗素 2000 价值, SPSM小型股, oih石油服务, ESIX标普小型股, IWM罗素小盘股2000指数, IJS小型股600价值"
TXN,24878287.0,21,"SMH 半导体, 科技XLK, xsd半导体, QYLG纳斯达克 100®备兑看涨期权及成长型, DYNF美国股票因子轮动主动型, TECB美国科技突破多行业, TYLG信息技术类备兑看涨期权及成长型, QRMI纳斯达克 100®风险管理收益, XNTK科技, IYW美国科技, trut科技, GXPTMSCI 信息技术, EUSA美国等权重, KRMA有意识企业, XSD半导体, USMV美国最小波动率, ibot机器人, IGM拓展科技行业, XYLG标普 500备兑看涨期权及成长型, SOXX 半导体, THRO美国主题轮动"
MSFUT,24830440.0,7,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, IWP中型成长股, IJT标普小型股600价值, IJS小型股600价值, IWC微型股"
ALIT,24672275.0,4,"IWN罗素 2000 价值, 超级股息SDIV, IWM罗素小盘股2000指数, SMLV美国小型股低波动率指数"
AMAT,24564017.0,24,"QUAL美国质量因子, SMH 半导体, VLUE美国价值因子, 科技XLK, QYLG纳斯达克 100®备兑看涨期权及成长型, DYNF美国股票因子轮动主动型, TYLG信息技术类备兑看涨期权及成长型, QRMI纳斯达克 100®风险管理收益, XNTK科技, IYW美国科技, MTUM美国动量因子, trut科技, GXPTMSCI 信息技术, EUSA美国等权重, KRMA有意识企业, DECO数字资产生态系统, USMV美国最小波动率, ibot机器人, IGM拓展科技行业, XYLG标普 500备兑看涨期权及成长型, SOXX 半导体, TEKX变革性科技加速器, THRO美国主题轮动, CNRG清洁能源"
MARA,24350875.0,14,"区块链BKCH, xsw软件, SLYG小型股600成长, XSW软件与服务, XJR标普小型股, IWN罗素 2000 价值, SPSM小型股, ISCG小型股成长, node链上经济, IWM罗素小盘股2000指数, IGM拓展科技行业, IJT标普小型股600价值, IJS小型股600价值, dapp数字化转型"
DRO,24111865.0,2,"IDEF国防工业主动型, SCZ小型股"
SO,24059303.0,11,"公用事业XLU, EGLE标普 500®美国营收领先, DYNF美国股票因子轮动主动型, POWR美国电力基础设施, EUSA美国等权重, USMV美国最小波动率, IFRA 美国基础设施, XYLG标普 500备兑看涨期权及成长型, 美国电器化ZAP, THRO美国主题轮动, LGLV美国大盘低波动率指数"
MCHP,23897389.0,17,"SMH 半导体, 科技XLK, xsd半导体, QYLG纳斯达克 100®备兑看涨期权及成长型, TECB美国科技突破多行业, TYLG信息技术类备兑看涨期权及成长型, QRMI纳斯达克 100®风险管理收益, IYW美国科技, trut科技, 数据中心及数字基础设施DTCR, GXPTMSCI 信息技术, EUSA美国等权重, XSD半导体, ibot机器人, IGM拓展科技行业, XYLG标普 500备兑看涨期权及成长型, SOXX 半导体"
GOOGL,23862436.0,24,"QUAL美国质量因子, BAI创新与科技, truc通信服务, GXPC通信服务, QYLG纳斯达克 100®备兑看涨期权及成长型, DYNF美国股票因子轮动主动型, TECB美国科技突破多行业, QRMI纳斯达克 100®风险管理收益, XNTK科技, 通信服务XLC, IYW美国科技, MTUM美国动量因子, 自动驾驶及电动汽车DRIV, EUSA美国等权重, KRMA有意识企业, MILN千禧一代消费者, node链上经济, IGM拓展科技行业, XYLG标普 500备兑看涨期权及成长型, 人工智能与机器人botz, 人工智能与科技AIQ, SOCL社交媒体 ETF, THRO美国主题轮动, LGLV美国大盘低波动率指数"
CTRA,23799655.0,11,"EGLE标普 500®美国营收领先, XOP石油天然气, VLUE美国价值因子, IEO美国天然气勘探与生产, GXPE能源, EUSA美国等权重, LNGX美国天然气, 能源XLE, USMV美国最小波动率, IYE美国能源, XYLG标普 500备兑看涨期权及成长型"
ADMA,23561716.0,10,"SLYG小型股600成长, XJR标普小型股, SPSM小型股, XBI生物科技, ISCG小型股成长, ESIX标普小型股, IWM罗素小盘股2000指数, IJT标普小型股600价值, IBB纳斯达克生物技术, 生物技术XBI"
DVN,23101955.0,12,"QUAL美国质量因子, EGLE标普 500®美国营收领先, XOP石油天然气, VLUE美国价值因子, IEO美国天然气勘探与生产, GXPE能源, FLOW美国现金流之王100, EUSA美国等权重, LNGX美国天然气, 能源XLE, IYE美国能源, XYLG标普 500备兑看涨期权及成长型"
BBAI,22999875.0,9,"IWC微盘股, xsw软件, XSW软件与服务, IWN罗素 2000 价值, 国防科技 SHLD, ISCG小型股成长, IWM罗素小盘股2000指数, IGM拓展科技行业, IWC微型股"
ARDX,22471707.0,4,"XBI生物科技, ISCG小型股成长, IWM罗素小盘股2000指数, 生物技术XBI"
AKBA,22377561.0,6,"IWC微盘股, IWN罗素 2000 价值, XBI生物科技, IWM罗素小盘股2000指数, 生物技术XBI, IWC微型股"
FOLD,22317581.0,6,"XBI生物科技, ISCG小型股成长, IWM罗素小盘股2000指数, SMLV美国小型股低波动率指数, IBB纳斯达克生物技术, 生物技术XBI"
FCX,22224440.0,13,"PICK全球金属与采矿, 原材料XLB, XME金属与矿业, EART稀土及关键材料, IYM美国基础材料, MTUM美国动量因子, 稀土及关键材料EART, EUSA美国等权重, XYLG标普 500备兑看涨期权及成长型, emet铜和绿色金属, TEKX变革性科技加速器, ICOP铜及金属矿业, t铜矿商COPX"
INDI,22112024.0,8,"IWC微盘股, xsd半导体, IWN罗素 2000 价值, 自动驾驶及电动汽车DRIV, HAIL智能出行, XSD半导体, IWM罗素小盘股2000指数, IWC微型股"
CMG,21935222.0,7,"QUAL美国质量因子, EGLE标普 500®美国营收领先, trud可选消费品, 消费电子_非必需XLY, EUSA美国等权重, MILN千禧一代消费者, XYLG标普 500备兑看涨期权及成长型"
BCRX,21885924.0,6,"IWN罗素 2000 价值, XBI生物科技, ISCG小型股成长, IWM罗素小盘股2000指数, IBB纳斯达克生物技术, 生物技术XBI"
EXC,21465213.0,12,"公用事业XLU, EGLE标普 500®美国营收领先, VLUE美国价值因子, QYLG纳斯达克 100®备兑看涨期权及成长型, DYNF美国股票因子轮动主动型, POWR美国电力基础设施, QRMI纳斯达克 100®风险管理收益, EUSA美国等权重, KRMA有意识企业, IFRA 美国基础设施, XYLG标普 500备兑看涨期权及成长型, 美国电器化ZAP"
DUK,21391621.0,10,"公用事业XLU, EGLE标普 500®美国营收领先, DYNF美国股票因子轮动主动型, POWR美国电力基础设施, EUSA美国等权重, USMV美国最小波动率, IFRA 美国基础设施, XYLG标普 500备兑看涨期权及成长型, 美国电器化ZAP, LGLV美国大盘低波动率指数"
PSKY,21136947.0,5,"EGLE标普 500®美国营收领先, TECB美国科技突破多行业, 通信服务XLC, XYLG标普 500备兑看涨期权及成长型, THRO美国主题轮动"
SANA,21015040.0,6,"IWN罗素 2000 价值, GNOM基因组学与生物技术, XBI生物科技, IWM罗素小盘股2000指数, IBB纳斯达克生物技术, 生物技术XBI"
KO,20904118.0,10,"QUAL美国质量因子, DYLG道琼斯 30®备兑看涨期权及成长型, DJIA道琼斯30备兑看涨期权, EUSA美国等权重, KRMA有意识企业, 日常消费_必需XLP, USMV美国最小波动率, XYLG标普 500备兑看涨期权及成长型, THRO美国主题轮动, LGLV美国大盘低波动率指数"
BTBT,20830883.0,9,"IWC微盘股, 区块链BKCH, xsw软件, XSW软件与服务, IWN罗素 2000 价值, ISCG小型股成长, IWM罗素小盘股2000指数, dapp数字化转型, IWC微型股"
OKLO,20539640.0,9,"QUAL美国质量因子, 铀矿核能ura, IDEF国防工业主动型, IWN罗素 2000 价值, nlr铀和核能, MTUM美国动量因子, EUSA美国等权重, IWM罗素小盘股2000指数, THRO美国主题轮动"
