ETF_Ticker,File_Date,Expected_Date,Status,Row_Count
SATO,2026-04-29,2026-04-30,🔴 滞后,54
PGF,2079-12-31,2026-04-30,🟡 异动,100
PGX,2085-06-01,2026-04-30,🟡 异动,268
AGNG,2026-04-30,2026-04-30,🟢 最新,84
AIQ,2026-04-30,2026-04-30,🟢 最新,84
AQWA,2026-04-30,2026-04-30,🟢 最新,41
AUAU,2026-04-30,2026-04-30,🟢 最新,106
BALI,2026-04-30,2026-04-30,🟢 最新,197
BKCH,2026-04-30,2026-04-30,🟢 最新,33
BLCR,2026-04-30,2026-04-30,🟢 最新,38
BLCV,2026-04-30,2026-04-30,🟢 最新,61
BMVP,2026-04-30,2026-04-30,🟢 最新,55
BTHM,2026-04-30,2026-04-30,🟢 最新,245
BUG,2026-04-30,2026-04-30,🟢 最新,29
CHIQ,2026-04-30,2026-04-30,🟢 最新,57
CHPXAI,2026-04-30,2026-04-30,🟢 最新,36
CNRG,2026-04-30,2026-04-30,🟢 最新,45
COPX,2026-04-30,2026-04-30,🟢 最新,41
CQQQ,2026-04-30,2026-04-30,🟢 最新,176
CSD,2026-04-30,2026-04-30,🟢 最新,26
CSTK,2026-04-30,2026-04-30,🟢 最新,53
CTEC,2026-04-30,2026-04-30,🟢 最新,40
CVY,2026-04-30,2026-04-30,🟢 最新,151
CZA,2026-04-30,2026-04-30,🟢 最新,102
DECO,2026-04-30,2026-04-30,🟢 最新,31
DGRO,2026-04-30,2026-04-30,🟢 最新,402
DIA,2026-04-30,2026-04-30,🟢 最新,31
DIVB,2026-04-30,2026-04-30,🟢 最新,407
DIVG,2026-04-30,2026-04-30,🟢 最新,102
DJD,2026-04-30,2026-04-30,🟢 最新,29
DJIA,2026-04-30,2026-04-30,🟢 最新,30
DMAX,2026-04-30,2026-04-30,🟢 最新,5
DRIV,2026-04-30,2026-04-30,🟢 最新,76
DSI,2026-04-30,2026-04-30,🟢 最新,404
DTCR,2026-04-30,2026-04-30,🟢 最新,25
DVVY,2026-04-30,2026-04-30,🟢 最新,63
DVY,2026-04-30,2026-04-30,🟢 最新,106
DWAS,2026-04-30,2026-04-30,🟢 最新,200
DYLG,2026-04-30,2026-04-30,🟢 最新,30
DYNF,2026-04-30,2026-04-30,🟢 最新,189
EART,2026-04-30,2026-04-30,🟢 最新,50
EBIZ,2026-04-30,2026-04-30,🟢 最新,40
EDGQ,2026-04-30,2026-04-30,🟢 最新,2
EDGX,2026-04-30,2026-04-30,🟢 最新,2
EELV,2026-04-30,2026-04-30,🟢 最新,212
EEMO,2026-04-30,2026-04-30,🟢 最新,268
EFAA,2026-04-30,2026-04-30,🟢 最新,715
EGLE,2026-04-30,2026-04-30,🟢 最新,373
EMC,2026-04-30,2026-04-30,🟢 最新,68
EQAL,2026-04-30,2026-04-30,🟢 最新,991
EQWL,2026-04-30,2026-04-30,🟢 最新,102
ERTH,2026-04-30,2026-04-30,🟢 最新,165
ESGU,2026-04-30,2026-04-30,🟢 最新,291
ESIX,2026-04-30,2026-04-30,🟢 最新,433
ESML,2026-04-30,2026-04-30,🟢 最新,906
ETHB,2026-04-30,2026-04-30,🟢 最新,3
EUSA,2026-04-30,2026-04-30,🟢 最新,543
EVUS,2026-04-30,2026-04-30,🟢 最新,235
EWX,2026-04-30,2026-04-30,🟢 最新,3446
FDIQ,2026-04-30,2026-04-30,🟢 最新,41
FEZ,2026-04-30,2026-04-30,🟢 最新,55
FILL,2026-04-30,2026-04-30,🟢 最新,74
FITE,2026-04-30,2026-04-30,🟢 最新,79
FLAG,2026-04-30,2026-04-30,🟢 最新,50
FLOW,2026-04-30,2026-04-30,🟢 最新,101
GGME,2026-04-30,2026-04-30,🟢 最新,93
GMF,2026-04-30,2026-04-30,🟢 最新,1294
GNOM,2026-04-30,2026-04-30,🟢 最新,49
GOEX,2026-04-30,2026-04-30,🟢 最新,52
GRPM,2026-04-30,2026-04-30,🟢 最新,59
GRPZ,2026-04-30,2026-04-30,🟢 最新,87
GXC,2026-04-30,2026-04-30,🟢 最新,1266
GXPC,2026-04-30,2026-04-30,🟢 最新,26
GXPE,2026-04-30,2026-04-30,🟢 最新,22
GXPT,2026-04-30,2026-04-30,🟢 最新,89
HAIL,2026-04-30,2026-04-30,🟢 最新,88
HDV,2026-04-30,2026-04-30,🟢 最新,81
HEAL,2026-04-30,2026-04-30,🟢 最新,40
HERO,2026-04-30,2026-04-30,🟢 最新,42
HYDR,2026-04-30,2026-04-30,🟢 最新,24
IAI,2026-04-30,2026-04-30,🟢 最新,39
IAK,2026-04-30,2026-04-30,🟢 最新,60
IAT,2026-04-30,2026-04-30,🟢 最新,35
IBB,2026-04-30,2026-04-30,🟢 最新,256
IBBQ,2026-04-30,2026-04-30,🟢 最新,261
ICF,2026-04-30,2026-04-30,🟢 最新,33
IDHQ,2026-04-30,2026-04-30,🟢 最新,199
IDLV,2026-04-30,2026-04-30,🟢 最新,209
IDMO,2026-04-30,2026-04-30,🟢 最新,200
IDU,2026-04-30,2026-04-30,🟢 最新,48
IEO,2026-04-30,2026-04-30,🟢 最新,50
IETC,2026-04-30,2026-04-30,🟢 最新,90
IEZ,2026-04-30,2026-04-30,🟢 最新,34
IFRA,2026-04-30,2026-04-30,🟢 最新,168
IGE,2026-04-30,2026-04-30,🟢 最新,141
IGM,2026-04-30,2026-04-30,🟢 最新,291
IGN,2026-04-30,2026-04-30,🟢 最新,30
IGPT,2026-04-30,2026-04-30,🟢 最新,104
IGV,2026-04-30,2026-04-30,🟢 最新,115
IHE,2026-04-30,2026-04-30,🟢 最新,60
IHF,2026-04-30,2026-04-30,🟢 最新,64
IHI,2026-04-30,2026-04-30,🟢 最新,52
IJH,2026-04-30,2026-04-30,🟢 最新,409
